1
11700 2600 12500 1600 13300 1000 9700 4600  13100 1200
-1 -1  -1 -1  -1 -1  -1 -1  -1 -1
2
11100  3200   -1 -1  -1 -1  -1 -1  -1 -1
-1 -1  -1 -1  -1 -1  3200 11100  -1 -1
3
7500 6800  8300 6000  5700  8600  -1 -1  -1 -1
-1 -1  -1 -1  6600 7700  3700 10600  5100  9200 
4
2300 12000  12000 2300  -1 -1 2700 11600  3100 11200
700 13600  4900 9400   -1 -1  -1 -1  -1 -1
5
5800 12000  12000 2300  -1 -1 2700 11600  3100 11200
700 13600  2900 9400   -1 -1  -1 -1  -1 -1
6
3100 11200  10600 3700  -1 -1  -1 -1  -1 -1
-1 -1  -1 -1  -1 -1  8200 6100  8000 6300 
7
-1 -1  -1 -1  8900 5400  -1 -1  -1 -1
12700 1600  8200 5800  9500 3600  7700 6600  -1 -1
8
14400 300  -1 -1  2400  11900  1400 12900   -1 -1
-1 -1  -1 -1  11900 2300  11700  2600  -1 -1

