1 
1000 7500   -1 -1  -1 -1   -1 -1   -1 -1
-1 -1 -1 -1  20  0   -1 -1   -1 -1
2 
2904 2904   6000 6000  -1 -1  -1 -1   -1 -1
 5 5   9 2   20  0   -1 -1   -1 -1
3
0 0  14000 14000   -1 -1   -1 -1   -1 -1
0 0  14000     0   -1 -1   -1 -1   -1 -1
4
9000 4000   8000 4000    0 7500   -1 -1   -1 -1
 5 5   9 2   20  0   -1 -1   -1 -1
5
800 14000   2 3    0 23   -1 -1   -1 -1
 5 5   9 2   20  0   -1 -1   -1 -1
6
10 3   1000 14000    0 23   -1 -1   -1 -1
 5 5   9 2   20  0   12093 11940    -1 -1
7
7500 7300   7400 6500    7000 100   1 23  -1 -1
7400 7500   8500 4000   20  0   -1 -1   -1 -1
8
 5000 5000  6000 5000  7000 5000   -1 -1   -1 -1
 9 2  20 0 7000 7000   -1 -1   -1 -1
