3 6 28
15 13 26
6 12 10
1 2 8
10 19 24
6 0 7
12 16 12
8 7 10
2 10 3
3 7 26
9 2 13
18 9 28
13 16 2
2 9 4
1 19 15
17 18 15
15 10 24
6 11 21
16 13 3
10 16 2
5 5 15
7 16 6
6 9 14
17 4 16
2 5 15
7 14 15
3 10 8
8 16 9
8 4 4
11 14 20
12 0 27
8 19 23
6 6 25
19 15 11
14 18 18
1 17 3
17 12 23
16 1 21
6 1 16
9 4 30
0 9 22
17 17 12
1 15 10
7 7 17
17 13 7
5 6 24
19 4 29
11 12 30
3 19 1
8 8 6
0 9 7
3 18 26
6 11 2
15 19 29
4 8 2
10 13 11
14 4 25
14 7 27
3 11 18
5 19 17
12 11 18
8 15 18
14 1 9
15 9 8
15 13 9
8 3 22
8 9 27
4 3 14
0 4 29
8 8 10
17 17 7
4 3 1
3 10 30
12 5 5
10 5 30
14 6 10
2 2 15
17 7 16
4 8 12
2 8 30
3 6 9
0 2 12
10 5 2
1 10 29
5 0 27
4 6 13
5 8 17
2 18 15
17 2 15
0 16 3
19 19 11
8 11 4
11 1 11
13 14 11
3 19 12
19 16 10
13 13 19
10 15 27
6 4 1
10 4 7
2 16 8
5 16 20
18 7 3
8 12 10
9 16 21
2 7 7
1 13 13
1 15 30
19 1 15
19 11 21
7 5 19
7 10 25
18 0 5
2 9 27
1 10 15
12 12 3
10 5 16
2 19 11
2 18 24
18 10 25
10 9 22
19 16 13
15 14 5
19 9 4
16 10 26
0 2 30
4 13 26
1 7 15
13 1 15
6 19 5
2 2 27
4 1 13
8 8 20
12 8 19
18 16 19
13 8 4
13 13 9
10 14 8
6 8 10
0 6 19
17 9 11
3 13 4
17 13 23
6 5 3
16 15 9
17 9 17
0 14 22
0 4 9
7 10 9
16 2 15
17 19 14
19 2 19
3 0 12
7 18 20
11 15 15
19 12 16
7 4 30
9 4 6
9 3 26
17 0 29
11 9 10
7 8 13
15 3 25
9 10 13
0 1 10
6 12 12
2 0 28
3 1 22
9 10 16
16 7 18
14 10 17
4 17 15
8 5 9
12 6 11
6 6 25
16 12 19
9 6 11
7 10 22
0 11 14
17 7 3
6 14 26
12 10 13
19 10 20
9 14 6
1 0 4
7 8 29
6 10 5
16 17 7
0 9 18
5 19 18
18 5 4
17 9 14
7 18 28
14 11 10
0 19 9
18 5 19
14 13 8
1 13 19
10 19 8
19 9 14
2 14 14
7 11 23
2 10 3
11 17 16
1 17 5
11 7 2
11 1 18
0 14 21
18 5 2
16 16 23
11 19 27
4 18 11
18 1 1
2 12 10
17 5 27
4 16 4
7 19 28
4 19 22
7 10 27
0 18 6
3 9 15
11 5 15
11 15 6
14 9 29
2 2 23
17 10 4
14 6 14
6 13 24
14 14 4
19 17 13
15 8 10
10 12 25
17 6 6
17 11 14
3 13 9
5 11 21
18 17 7
3 15 11
18 10 25
11 1 4
5 9 4
4 11 6
10 8 24
5 6 16
19 9 21
7 6 14
17 16 22
5 0 27
15 10 19
11 2 3
16 19 22
10 4 23
7 14 11
3 12 29
10 3 18
10 10 14
14 19 13
7 4 13
15 12 5
14 3 9
6 0 29
19 2 13
3 1 29
3 4 23
2 14 16
1 17 16
7 11 27
9 18 12
3 13 24
7 19 19
6 17 1
4 8 25
18 11 7
18 15 13
11 9 30
6 10 17
4 9 10
0 18 30
13 1 5
18 9 7
7 7 14
7 11 3
2 1 16
10 19 21
14 10 22
13 17 15
1 1 4
0 13 3
1 7 6
16 5 5
2 12 22
17 12 25
1 6 26
17 8 16
19 2 8
3 16 5
17 9 28
12 2 22
6 3 11
2 11 26
6 5 11
10 3 25
16 16 11
12 5 19
19 5 1
16 0 9
3 17 29
2 1 1
15 8 6
15 10 28
13 8 3
3 10 28
17 7 7
9 11 22
9 10 19
19 18 19
10 13 28
10 16 20
12 11 18
17 19 28
6 12 8
1 15 19
18 4 16
16 5 17
8 14 29
8 13 29
17 15 23
14 5 21
5 17 14
12 7 13
1 13 5
19 14 22
19 5 28
14 1 3
12 1 17
12 10 3
2 19 28
14 13 16
6 11 25
10 3 2
12 17 18
19 8 22
0 7 27
10 1 1
12 5 2
9 17 12
3 11 3
0 6 19
7 4 10
12 14 15
15 19 2
12 18 30
16 10 27
4 0 30
14 5 25
6 6 24
19 9 26
12 1 14
10 9 30
11 13 15
15 8 16
17 13 24
18 9 6
15 13 29
16 0 4
3 6 22
18 17 11
5 1 12
10 3 11
0 14 16
4 2 15
19 19 30
4 9 9
11 16 14
19 13 24
4 16 2
15 6 12
7 12 3
9 2 9
11 2 15
7 18 7
3 17 8
12 13 18
2 5 24
17 16 19
1 13 27
14 0 4
5 8 26
10 9 30
18 0 3
4 19 1
1 2 11
0 6 24
9 0 9
3 18 8
